SOURCEID,MARKET,DISCO_CODE,LOAD_PROFILE,RATE_CLASS,ESG_SOURCEID,MARKET_1,DISCO_CODE_1,PROFILE_CLASS,RATE_CLASS_1,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG
10073,ERCOT,CPT,,381,10073,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,73,Y
10074,ERCOT,CPT,,361,10074,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,74,Y
10075,ERCOT,CPT,,362,10075,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,75,Y
10076,ERCOT,CPT,,382,10076,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,76,Y
10077,ERCOT,CPT,,363,10077,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,77,Y
10078,ERCOT,CPT,,373,10078,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,78,Y
10079,ERCOT,CPT,,383,10079,ERCOT,CPT,,ERCOT_BUS,SCALAR,D,SECONDARY,TX,0,79,Y
10080,ERCOT,CPT,,390,10080,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0,80,Y
10081,ERCOT,CPT,,391,10081,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0,81,Y
10082,ERCOT,CPT,,392,10082,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0,82,Y
10083,ERCOT,CPT,,366,10083,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0,83,Y
10084,ERCOT,CPT,,376,10084,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0,84,Y
10085,ERCOT,CPT,,364,10085,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0,85,Y
10086,ERCOT,CPT,,374,10086,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0,86,Y
10087,ERCOT,CPT,,384,10087,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0,87,Y
10088,ERCOT,ONCOR,,5,10088,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,88,Y
10089,ERCOT,ONCOR,,6,10089,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,89,Y
10090,ERCOT,ONCOR,,7,10090,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,90,Y
10091,ERCOT,ONCOR,,8,10091,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,91,Y
10092,ERCOT,ONCOR,,9,10092,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,92,Y
10093,ERCOT,ONCOR,,73,10093,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,93,Y
10094,ERCOT,ONCOR,,77,10094,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,94,Y
