,ESG_SOURCEID,MARKET,DISCO_CODE,PROFILE_CLASS,RATE_CLASS,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,GROUP
82,10118,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,118,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
83,50394,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5496,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
84,50395,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5497,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
85,50396,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5498,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
86,50397,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5499,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
87,49264,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4364,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
88,49265,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4365,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
89,49266,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4366,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
90,49267,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4367,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
91,49268,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4368,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
92,49269,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4369,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
93,49270,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4370,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
