Utility Name,Rate Name,Description,Commodity,Voltage,Business Type,Loss Factor,Profile
AEP_OH_CS,AEP_OH_CS_RC_117,"Outdoor Lighting, High Pressureure Sodium 200-Federal (HP FE 200)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_118,"Outdoor Lighting, High Pressureure Sodium 250-Federal (HP FE 250)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_119,"Outdoor Lighting, High Pressureure Sodium 400-Federal (HP FE 400)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_125,"Outdoor Lighting, High Pressure Sodium 100-Flood-Federal (HPFLFE100)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_126,"Outdoor Lighting, High Pressure Sodium 250-Flood-Federal (HPFLFE250)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_127,"Outdoor Lighting, High Pressure Sodium 400-Flood-Federal (HPFLFE400)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_128,"Outdoor Lighting, High Pressure Sodium 1000-Flood-Federal (HPFLFE1000)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_131,"Outdoor Lighting, Metal Halide 250-Flood (MH FL 250)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_132,"Outdoor Lighting, Metal Halide 400-Flood (MH FL 400)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_133,"Outdoor Lighting, Metal Halide 1000-Flood (MH FL1000)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_134,"Outdoor Lighting, Metal Halide 1000-Flood SPECIAL (MH FL1000)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_136,"Outdoor Lighting, Metal Halide 250-Flood-Federal (MHFLFE250)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_137,"Outdoor Lighting, Metal Halide 400-Flood-Federal (MHFLFE400)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_138,"Outdoor Lighting, Metal Halide 1000-Flood-Federal (MHFLFE1000)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_140,"Outdoor Lighting, Mecury Vapor 1000",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_141,"Outdoor Lighting, High Pressure Sodium 100-Cut Off (HP CO 100)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_142,"Outdoor Lighting, High Pressure Sodium 250-Cut Off (HP CO 250)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_143,"Outdoor Lighting, High Pressure Sodium 400-Cut Off (HP CO 400)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_146,"Outdoor Lighting, Mecury Vapor 250-Flood",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_147,"Outdoor Lighting, Mecury Vapor 400-Flood",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_148,"Outdoor Lighting, Mecury Vapor 1000-Flood",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_201,"General Service Medium, Schedule GS-3",Power,Primary,GenSvc-Med,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_202,"General Service Small, Schedule GS-1",Power,Secondary,GenSvc-Sm,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_203,"General Service, Schedule GS-2-Low Load Factor",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_204,"General Service Small, Schedule GS-1-Unmetered Provision",Power,Secondary,GenSvc-Sm,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_205,"General Service Medium, Schedule GS-3",Power,Primary,GenSvc-Med,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_206,"General Service Small, Schedule GS-1",Power,Secondary,GenSvc-Sm,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_207,"General Service, Schedule GS-2-Low Load Factor",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_208,"General Service, Schedule GS-2-Low Load Factor",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_209,"General Service, Schedule GS-2-Low Load Factor",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_210,"General Service Medium, Schedule GS-3",Power,Primary,GenSvc-Med,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_212,"General Service Small, Schedule GS-1-School",Power,Secondary,Sch-Univ,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_214,"General Service Small, Schedule GS-1-Unmetered Provision",Power,Secondary,GenSvc-Sm,AEP_OH_CS_LF_SEC,
