,SOURCEID,MARKET,DISCO_CODE,LOAD_PROFILE,RATE_CLASS,ESG_SOURCEID,MARKET_1,DISCO_CODE_1,PROFILE_CLASS,RATE_CLASS_1,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,GROUP
109,49335,ERCOT,ONCOR,,E3,49335,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4435,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
110,49336,ERCOT,ONCOR,,G0,49336,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4436,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
111,49337,ERCOT,ONCOR,,G1,49337,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4437,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
112,49338,ERCOT,ONCOR,,G4,49338,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4438,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
113,49339,ERCOT,ONCOR,,G5,49339,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4439,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
114,49340,ERCOT,ONCOR,,K0,49340,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,4440,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
115,49341,ERCOT,ONCOR,,J0,49341,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4441,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
116,49342,ERCOT,ONCOR,,K1,49342,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,4442,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
117,49343,ERCOT,ONCOR,,J1,49343,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4443,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
118,49344,ERCOT,ONCOR,,K4,49344,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,4444,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
119,49345,ERCOT,ONCOR,,J4,49345,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4445,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
120,49346,ERCOT,ONCOR,,K5,49346,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,4446,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
121,49347,ERCOT,ONCOR,,J5,49347,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4447,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
122,49348,ERCOT,ONCOR,,K2,49348,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,4448,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
123,49349,ERCOT,ONCOR,,J2,49349,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4449,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
124,49350,ERCOT,ONCOR,,G3,49350,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4450,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
