CUSTOMERNAME,CUSTOMERID,LDC_ACCOUNT,ACCOUNTID,JURISCODE,PROFILECODE,METERTYPE,LOSSCODE,ZONECODE,STARTTIME,STOPTIME,USAGE,PEAK,CAPTAG_STARTTIME,CAPTAG_STOPTIME,CAPTAG_DELTA,CUR_CAPTAG
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037532710000663920,PJM_ATSIOE_08037532710000663920,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"109,585.57",39.32,6/1/18,5/31/2019,-2.9049,17.3127
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037545635000091724,PJM_ATSIOE_08037545635000091724,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"11,835.59",26.43,6/1/18,5/31/2019,-4.9455,0.2827
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037525782550026878,PJM_ATSITE_08037525782550026878,OH,TE_C2,N,SECONDARY,FEOHIOTE,6/1/19,5/31/20,"16,595.84",6.84,6/1/18,5/31/2019,0.4534,5.6813
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037517335001312830,PJM_ATSIOE_08037517335001312830,OH,OE_C1,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"70,814.36",25.21,6/1/18,5/31/2019,-3.5086,4.6765
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037524791670001052,PJM_ATSICE_08037524791670001052,OH,CE_CG,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"377,191.59",98.82,6/1/18,5/31/2019,-10.2992,55.5692
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08006686070000711830,PJM_ATSIOE_08006686070000711830,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"6,321.56",4.11,6/1/18,5/31/2019,0.0182,0.0192
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005897275000011891,PJM_ATSIOE_08005897275000011891,OH,OE_SL,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"2,008.02",0.61,6/1/18,5/31/2019,0.0000,0
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037508391270101539,PJM_ATSICE_08037508391270101539,OH,CE_CG,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"15,374.45",5.94,6/1/18,5/31/2019,-0.6756,0.2928
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005874331150000840,PJM_ATSICE_08005874331150000840,OH,CE_C3,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"186,915.83",54.91,6/1/18,5/31/2019,-11.8927,14.1038
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08006683625001244852,PJM_ATSIOE_08006683625001244852,OH,OE_C1,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,3.98,0.00,6/1/18,5/31/2019,0.0000,0
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08007049380000206027,PJM_ATSIOE_08007049380000206027,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"284,539.03",85.77,6/1/18,5/31/2019,-16.6208,41.5228
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037522770000704772,PJM_ATSIOE_08037522770000704772,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"191,065.90",55.59,6/1/18,5/31/2019,-6.2515,31.819
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037542781970094038,PJM_ATSICE_08037542781970094038,OH,CE_CG,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"21,235.74",5.91,6/1/18,5/31/2019,1.0812,2.7405
ROCKY RIVER CITY SCHOOL DISTRICT,1-J1XUOV,08005952195000050345,PJM_ATSICE_08005952195000050345,OH,CE_SL,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"9,802.66",3.21,6/1/18,5/31/2019,0.0000,0
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08004881450000413400,PJM_ATSIOE_08004881450000413400,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"2,337.48",1.03,6/1/18,5/31/2019,0.6155,1.3274
